customerId,firstName,lastName,DOB,phoneNumber,email,points,dateJoined
901,Peter,Lee,2001-04-03,979-506-8105,peter.lee20@example.com,660,2023-05-15
902,Pat,Davis,2001-01-20,979-571-3771,pat.davis98@example.com,741,2023-01-01
903,Mike,Davis,2000-01-25,979-244-8284,mike.davis19@example.com,831,2023-01-03
904,Mike,Brown,1995-08-24,979-759-9227,mike.brown87@example.com,189,2023-01-05
905,Jane,Doe,2003-01-26,979-196-5309,jane.doe26@example.com,695,2023-01-07
906,Mary,Miller,2005-11-05,979-616-4977,mary.miller20@example.com,509,2023-01-09
907,Mike,Brown,1995-01-07,979-938-3513,mike.brown12@example.com,793,2023-01-11
908,Chris,Williams,1997-11-15,979-209-2937,chris.williams46@example.com,96,2023-01-13
909,Mike,Jones,1999-09-06,979-310-4185,mike.jones78@example.com,228,2023-01-15
910,Chris,Moore,2004-02-16,979-769-6475,chris.moore34@example.com,537,2023-01-18
911,John,Doe,2002-03-06,979-563-7318,john.doe71@example.com,641,2023-01-20
912,Mike,Davis,2001-01-14,979-956-2956,mike.davis57@example.com,170,2023-01-22
913,Sue,Lee,2000-01-22,979-683-5411,sue.lee59@example.com,484,2023-01-24
914,Jane,Smith,2004-08-13,979-250-4187,jane.smith93@example.com,496,2023-01-26
915,Taylor,Davis,2005-01-28,979-644-7382,taylor.davis32@example.com,300,2023-01-28
916,Chris,Wilson,2003-10-18,979-210-7861,chris.wilson8@example.com,366,2023-01-30
917,Sue,Williams,1995-05-11,979-833-3154,sue.williams18@example.com,801,2023-02-01
918,Jane,Doe,1995-06-24,979-878-8519,jane.doe77@example.com,883,2023-02-04
919,Mary,Brown,2002-09-24,979-266-3857,mary.brown68@example.com,895,2023-02-06
920,Jane,Wilson,1997-12-08,979-700-7401,jane.wilson96@example.com,12,2023-02-08
921,Pat,Williams,2002-03-13,979-671-7843,pat.williams28@example.com,4,2023-02-10
922,Peter,Jones,1995-11-07,979-534-7946,peter.jones46@example.com,400,2023-02-12
923,Chris,Miller,2005-08-04,979-942-3104,chris.miller40@example.com,211,2023-02-14
924,Jane,Doe,1996-12-18,979-270-8970,jane.doe11@example.com,318,2023-02-16
925,John,Brown,2004-05-09,979-645-3837,john.brown16@example.com,635,2023-02-19
926,Pat,Doe,1995-02-25,979-104-5203,pat.doe11@example.com,13,2023-02-21
927,Sue,Williams,1995-04-21,979-586-6586,sue.williams66@example.com,492,2023-02-23
928,Peter,Miller,1998-01-11,979-287-8059,peter.miller20@example.com,244,2023-02-25
929,Chris,Jones,1995-04-17,979-173-6540,chris.jones76@example.com,875,2023-02-27
930,Jane,Williams,1997-12-27,979-578-6856,jane.williams93@example.com,369,2023-03-01
931,Pat,Doe,2000-04-17,979-941-4018,pat.doe5@example.com,404,2023-03-03
932,Mary,Jones,1995-01-19,979-823-8409,mary.jones99@example.com,50,2023-03-05
933,Chris,Miller,2002-08-19,979-200-5497,chris.miller84@example.com,72,2023-03-08
934,Chris,Moore,2004-01-06,979-167-9304,chris.moore54@example.com,961,2023-03-10
935,Mary,Miller,1997-04-21,979-967-2882,mary.miller50@example.com,440,2023-03-12
936,John,Miller,1999-01-10,979-553-1928,john.miller59@example.com,396,2023-03-14
937,Jane,Williams,2002-07-11,979-621-1438,jane.williams27@example.com,811,2023-03-16
938,Sue,Williams,2003-02-25,979-779-5343,sue.williams65@example.com,767,2023-03-18
939,Mike,Brown,2003-02-27,979-365-8312,mike.brown8@example.com,985,2023-03-20
940,Mary,Miller,2004-10-01,979-607-6334,mary.miller10@example.com,891,2023-03-22
941,Peter,Williams,2003-10-22,979-935-8305,peter.williams53@example.com,626,2023-03-25
942,John,Davis,1995-03-01,979-600-1284,john.davis81@example.com,925,2023-03-27
943,Jane,Davis,1997-05-04,979-889-7465,jane.davis31@example.com,110,2023-03-29
944,Peter,Davis,2004-04-15,979-762-6829,peter.davis75@example.com,792,2023-03-31
945,Chris,Williams,1999-03-04,979-710-2049,chris.williams76@example.com,505,2023-04-02
946,Mike,Wilson,2002-03-03,979-736-9373,mike.wilson73@example.com,102,2023-04-04
947,John,Jones,2003-06-27,979-270-3221,john.jones65@example.com,667,2023-04-06
948,Jane,Wilson,2000-12-13,979-319-2895,jane.wilson71@example.com,57,2023-04-09
949,Chris,Doe,1999-12-03,979-572-5239,chris.doe91@example.com,595,2023-04-11
950,Taylor,Brown,1996-07-04,979-899-3546,taylor.brown75@example.com,507,2023-04-13
951,Mike,Smith,2003-02-18,979-651-2858,mike.smith64@example.com,220,2023-04-15
952,Pat,Smith,2004-01-06,979-368-7345,pat.smith97@example.com,134,2023-04-17
953,John,Lee,2001-06-14,979-146-9192,john.lee25@example.com,538,2023-04-19
954,Mike,Smith,1995-07-18,979-166-9320,mike.smith1@example.com,700,2023-04-21
955,Mary,Wilson,2000-09-09,979-288-7357,mary.wilson85@example.com,855,2023-04-23
956,Taylor,Miller,1998-08-06,979-167-8233,taylor.miller84@example.com,235,2023-04-26
957,Taylor,Lee,1999-08-02,979-310-4190,taylor.lee8@example.com,450,2023-04-28
958,Pat,Davis,1999-12-24,979-708-3183,pat.davis44@example.com,220,2023-04-30
959,Mike,Lee,2004-06-24,979-224-9879,mike.lee22@example.com,726,2023-05-02
960,Mary,Jones,1999-09-11,979-485-5335,mary.jones87@example.com,709,2023-05-04
961,Taylor,Williams,1995-07-06,979-125-6609,taylor.williams47@example.com,666,2023-05-06
962,Taylor,Lee,2001-01-28,979-630-1849,taylor.lee75@example.com,395,2023-05-08
963,Pat,Brown,1999-12-19,979-735-5149,pat.brown28@example.com,380,2023-05-10
964,Peter,Jones,2005-11-06,979-213-6432,peter.jones47@example.com,405,2023-05-13
965,Pat,Moore,2003-03-02,979-647-6274,pat.moore13@example.com,488,2023-05-15
966,Pat,Lee,2002-10-28,979-930-3377,pat.lee30@example.com,974,2023-05-17
967,Alex,Williams,1997-06-14,979-188-6359,alex.williams5@example.com,843,2023-05-19
968,Jane,Smith,1999-07-17,979-927-2591,jane.smith89@example.com,319,2023-05-21
969,Mary,Lee,2004-03-11,979-103-6639,mary.lee11@example.com,838,2023-05-23
970,Alex,Smith,1997-04-22,979-256-7142,alex.smith41@example.com,766,2023-05-25
971,Mike,Smith,2004-10-01,979-814-3060,mike.smith22@example.com,343,2023-05-28
972,Sue,Brown,1997-11-05,979-702-3777,sue.brown46@example.com,20,2023-05-30
973,Mary,Doe,1997-04-25,979-840-6802,mary.doe2@example.com,411,2023-06-01
974,John,Doe,2004-08-01,979-581-4849,john.doe64@example.com,176,2023-06-03
975,Alex,Miller,1995-06-25,979-849-1018,alex.miller47@example.com,965,2023-06-05
976,Taylor,Brown,1995-07-26,979-927-1956,taylor.brown95@example.com,804,2023-06-07
977,Mary,Wilson,1998-05-12,979-736-3095,mary.wilson11@example.com,944,2023-06-09
978,Mary,Doe,1997-11-26,979-491-2786,mary.doe77@example.com,415,2023-06-11
979,Mike,Wilson,2002-05-10,979-250-3869,mike.wilson22@example.com,279,2023-06-14
980,Taylor,Williams,2005-01-08,979-524-3342,taylor.williams4@example.com,880,2023-06-16
981,Taylor,Davis,2005-02-17,979-410-7731,taylor.davis29@example.com,539,2023-06-18
982,Chris,Doe,2003-08-10,979-230-4930,chris.doe57@example.com,14,2023-06-20
983,Jane,Brown,1996-11-06,979-731-8056,jane.brown5@example.com,452,2023-06-22
984,Sue,Lee,1997-04-19,979-714-2303,sue.lee73@example.com,482,2023-06-24
985,John,Wilson,1996-11-26,979-610-4845,john.wilson37@example.com,334,2023-06-26
